fecha;Column1;hora;costo_en_dolares;nombre
01-01-2023;1;1;166,9;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;2;166,9;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;3;160,5;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;4;141,2;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;5;141,2;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;6;135,9;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;7;82,5;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;8;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;9;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;10;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;11;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;12;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;13;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;14;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;15;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;16;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;17;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;18;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;19;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;20;0,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;21;101,0;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;22;106,3;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;23;121,2;BA S/E CERRO NAVIA 220KV BP1
01-01-2023;1;24;121,2;BA S/E CERRO NAVIA 220KV BP1
02-01-2023;2;1;124,0;BA S/E CERRO NAVIA 220KV BP1
02-01-2023;2;2;126,6;BA S/E CERRO NAVIA 220KV BP1
02-01-2023;2;3;127,5;BA S/E CERRO NAVIA 220KV BP1
